title,opening_date,closing_date
BUTCH CASSIDY AND THE SUNDANCE KID,1/2/26,1/6/26
HAMNET,1/2/26,3/14/26
MARTY SUPREME,1/2/26,3/12/26
NO OTHER CHOICE,1/2/26,2/19/26
THE SECRET AGENT,1/2/26,3/13/26
ALL THE PRESIDENT’S MEN (35mm),1/4/26,1/8/26
HEARTWORN HIGHWAYS,1/5/26,1/5/26
DOWNHILL RACER (35mm),1/7/26,1/11/26
FATHER MOTHER SISTER BROTHER,1/9/26,1/15/26
JACKASS: THE MOVIE (35mm),1/9/26,1/9/26
"SOUTH PARK: BIGGER, LONGER & UNCUT",1/10/26,1/10/26
THE CANDIDATE (35mm),1/10/26,1/11/26
MY UNDESIRABLE FRIENDS: PART 1 – LAST AIR IN MOSCO,1/14/26,1/15/26
THE TESTAMENT OF ANN LEE (35mm),1/15/26,2/1/26
YOU GOT GOLD: A CELEBRATION OF JOHN PRINE,1/16/26,1/23/26
THE STING,1/17/26,1/20/26
THE HOT ROCK,1/18/26,1/20/26
THE RED SPECTACLES,1/21/26,1/22/26
RESURRECTION,1/23/26,2/11/26
WHO FRAMED ROGER RABBIT?,1/23/26,1/23/26
A PRIVATE LIFE,1/30/26,2/26/26
BLKNWS: TERMS & CONDITIONS,1/30/26,2/2/26
ORDINARY PEOPLE,1/31/26,2/3/26
AT CLOSE RANGE (35mm),2/2/26,2/2/26
THE TESTAMENT OF ANN LEE (DCP),2/2/26,2/16/26
THE WAY WE WERE,2/2/26,2/4/26
JEREMIAH JOHNSON,2/4/26,2/5/26
DEAD POETS SOCIETY,2/5/26,2/5/26
SILENT HILL (35mm),2/6/26,2/6/26
STRANGERS ON A TRAIN,2/6/26,2/8/26
THE CHRONOLOGY OF WATER,2/6/26,2/15/26
THE VOICE OF HIND RAJAB,2/6/26,2/19/26
DOUBLE INDEMNITY,2/7/26,2/10/26
SUPER MARIO BROS. (35mm),2/7/26,2/7/26
THE SHINING,2/9/26,2/13/26
PHANTOM THREAD,2/10/26,2/14/26
AUDITION,2/11/26,2/14/26
GET OUT,2/12/26,2/15/26
NIRVANNA THE BAND THE SHOW THE MOVIE,2/12/26,3/26/26
REBECCA,2/13/26,2/17/26
GHOST,2/14/26,2/17/26
BONES AND ALL,2/15/26,2/19/26
FATAL ATTRACTION,2/15/26,2/18/26
THE PIANO TEACHER,2/15/26,2/18/26
DEEP END,2/16/26,2/16/26
2026 Oscar Shorts – ANIMATED,2/20/26,3/5/26
2026 Oscar Shorts – LIVE ACTION,2/20/26,3/5/26
KOKUHO,2/20/26,2/26/26
TAXI DRIVER,2/20/26,2/20/26
2026 Oscar Shorts – DOCUMENTARY,2/21/26,3/5/26
FADE TO BLACK,2/21/26,2/21/26
PILLION,2/26/26,3/26/26
THE LOVE THAT REMAINS,2/27/26,3/5/26
A RIVER RUNS THROUGH IT (35mm),2/28/26,3/1/26
COTTON COMES TO HARLEM (35mm),3/2/26,3/2/26
BUGONIA,3/6/26,3/12/26
LA HAINE,3/6/26,3/6/26
SINNERS,3/6/26,3/14/26
SIRÂT,3/6/26,3/26/26
ONE BATTLE AFTER ANOTHER,3/7/26,3/19/26
SENTIMENTAL VALUE,3/7/26,3/14/26
SPRING BREAKERS,3/7/26,3/7/26
TRAIN DREAMS,3/7/26,3/13/26
F1,3/8/26,3/13/26
FRANKENSTEIN,3/8/26,3/13/26
MR. NOBODY AGAINST PUTIN,3/14/26,3/26/26
BLUE MOON,3/16/26,3/16/26
CRONOS,3/18/26,3/21/26
BILLY PRESTON: THAT’S THE WAY GOD PLANNED IT,3/20/26,4/8/26
COWBOY BEBOP: THE MOVIE,3/20/26,3/20/26
KIKI’S DELIVERY SERVICE,3/20/26,4/5/26
NATCHEZ,3/20/26,4/9/26
GHOST IN THE SHELL 2: INNOCENCE,3/21/26,3/21/26
QUEEN KELLY,3/22/26,3/25/26
SECONDS,3/24/26,3/24/26
MAGELLAN,3/27/26,3/29/26
THE A.I. DOC: OR HOW I BECAME AN APOCALOPTIMIST,3/27/26,4/9/26
E.T. THE EXTRA-TERRESTRIAL,3/28/26,3/30/26
SEEDS,3/28/26,3/31/26
A.I. ARTIFICIAL INTELLIGENCE,3/29/26,3/31/26
KÖLN 75,3/30/26,3/30/26
"Twin Peaks: Season 1, Episode 1",4/1/26,4/1/26
PLANET OF THE APES,4/2/26,4/2/26
ANDRÉ IS AN IDIOT,4/3/26,4/8/26
JOSIE AND THE PUSSYCATS,4/3/26,4/3/26
MIROIRS NO. 3,4/3/26,4/12/26
HEDWIG AND THE ANGRY INCH,4/4/26,4/4/26
JURASSIC PARK,4/4/26,4/9/26
BRIDGE OF SPIES,4/5/26,4/7/26
KOYAANISQATSI,4/6/26,4/6/26
"Twin Peaks: Season 1, Episodes 2-3",4/8/26,4/8/26
GHOST IN THE MACHINE,4/10/26,4/15/26
CLOSE ENCOUNTERS OF THE THIRD KIND,4/11/26,4/14/26
WAR OF THE WORLDS (35mm),4/12/26,4/16/26
A KNIGHT’S TALE,4/13/26,4/13/26
"Twin Peaks: Season 1, Episodes 4-6",4/15/26,4/15/26
,,